iter	Logloss
148	0.1651972961
149	0.16444664
150	0.1640433502
151	0.1629564667
152	0.1619932556
153	0.1611182022
154	0.1605770683
155	0.1591612625
156	0.1585234833
157	0.1579411411
158	0.1577178764
159	0.1575551987
160	0.1565104294
161	0.1559136581
162	0.1554841328
163	0.1552946663
164	0.1550262642
165	0.1537836838
166	0.1531069946
167	0.1518591309
168	0.1510233116
169	0.1504548645
170	0.1499999809
171	0.1490530968
172	0.1479678059
173	0.1471176338
174	0.146431179
175	0.1462316513
176	0.1459705734
177	0.1445258427
178	0.143839922
179	0.1432220936
180	0.1424717712
181	0.141909771
182	0.1413040066
183	0.140179615
184	0.1399906826
185	0.1396007156
186	0.1390642548
187	0.1390149689
188	0.1389140129
189	0.1386499596
190	0.1378789806
191	0.1375690937
192	0.1369674492
193	0.1367473984
194	0.1364824581
195	0.1361524582
196	0.1360068321
197	0.1358111
198	0.1357025623
199	0.1351662254
200	0.1348282623
201	0.1340421867
202	0.1335385513
203	0.1331710052
204	0.1320786667
205	0.130679512
206	0.1301272583
207	0.1299670219
208	0.1292240143
209	0.1289416409
210	0.1285319328
211	0.128030777
212	0.1272701263
213	0.1269465446
214	0.1267863464
215	0.1264523411
216	0.1259216881
217	0.1258786488
218	0.1252978706
219	0.1252147007
220	0.1250234604
221	0.1248128128
222	0.1240420055
223	0.1239649963
224	0.1239011765
225	0.1232546616
226	0.1227521992
227	0.122653904
228	0.1220786381
229	0.1220211887
230	0.1214014053
231	0.1208916092
232	0.1202581501
233	0.1197846413
234	0.1190150738
235	0.1184900093
236	0.1183448029
237	0.1180516243
238	0.1179727745
239	0.1173125076
240	0.1170780182
241	0.1170333862
242	0.1164103317
243	0.1159121513
244	0.1149227715
245	0.1145338345
246	0.113720665
247	0.113421917
248	0.1133630943
249	0.1132106209
250	0.1131484222
251	0.1126780701
252	0.112207489
253	0.1118770313
254	0.1114603996
255	0.1113430023
256	0.110903759
257	0.1103548622
258	0.1103316879
259	0.1097416592
260	0.1087489319
261	0.1085239601
262	0.1078908539
263	0.1077238655
264	0.1076496124
265	0.107362318
266	0.106919899
267	0.1063419724
268	0.1058911419
269	0.1053962898
270	0.1051675415
271	0.1051401806
272	0.1050629044
273	0.1044669151
274	0.1044035912
275	0.1040761852
276	0.1035525799
277	0.1035285282
278	0.1031918144
279	0.1027597141
280	0.1026493454
281	0.1021760178
282	0.1017195129
283	0.1013222122
284	0.100916338
285	0.1005808544
286	0.1005506897
287	0.1004999638
288	0.1004766273
289	0.1003919792
290	0.1003451252
291	0.1002715874
292	0.09980601311
293	0.09964774132
294	0.09904062271
295	0.09897945404
296	0.09856344223
297	0.09851959229
298	0.09843176842
299	0.09793680191
300	0.09750318527
301	0.09693367004
302	0.0963940239
303	0.09633300781
304	0.09623004913
305	0.09563781738
306	0.0955357933
307	0.09547613144
308	0.09542551041
309	0.09527654648
310	0.09444820404
311	0.09437807083
312	0.09390002251
313	0.09384086609
314	0.09378526688
315	0.09316878319
316	0.09267645836
317	0.09247943878
318	0.0919017601
319	0.09134354591
320	0.09125992775
321	0.09122865677
322	0.09081540108
323	0.09077501297
324	0.09030385971
325	0.08990109444
326	0.0894274807
327	0.08871523857
328	0.08869335175
329	0.08834166527
330	0.08827973366
331	0.08792175293
332	0.08742258072
333	0.08695774078
334	0.08601082802
335	0.08540220261
336	0.08492635727
337	0.08452150345
338	0.08412417412
339	0.08379706383
340	0.08376747131
341	0.0837273407
342	0.08314386368
343	0.08271565437
344	0.08212264061
345	0.08205121994
346	0.08172572136
347	0.08168164253
348	0.08163333893
349	0.08118465424
350	0.08114613533
351	0.08073272705
352	0.08032403946
353	0.08030338287
354	0.07996920586
355	0.07993501663
356	0.0798872757
357	0.07959575176
358	0.07919821739
359	0.07916044235
360	0.07912379265
361	0.07880980015
362	0.0787939167
363	0.07877737522
364	0.07832298279
365	0.07805466652
366	0.07775290489
367	0.07769080162
368	0.07713285446
369	0.07670394897
370	0.07630537033
371	0.0762827158
372	0.07625439644
373	0.07598064423
374	0.0759196949
375	0.07588055134
376	0.07584555626
377	0.07574050903
378	0.07535852909
379	0.07519989491
380	0.07486445427
381	0.07485077381
382	0.07481099129
383	0.07440867901
384	0.07403219223
385	0.07372187614
386	0.07370832443
387	0.07366034508
388	0.07332107067
389	0.07301841736
390	0.07297163963
391	0.07294338226
392	0.07253707886
393	0.07250689983
394	0.07224639416
395	0.07219938278
396	0.0717381382
397	0.07129088402
398	0.07127831459
399	0.07100245476
